workload,policy,horizon_days,requests,artifact_coverage_pct,artifact_complete_pct,control_coverage_pct,control_complete_pct,payload_coverage_pct,payload_complete_pct,replay_sufficient_pct,evidence_bytes,bytes_per_request,unique_blob_bytes,metadata_bytes,payload_bytes
poisson,input-output-only,30,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,699653,7288.052,0,34233,665420
poisson,input-output-only,90,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,699653,7288.052,0,34233,665420
poisson,input-output-only,365,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,699653,7288.052,0,34233,665420
poisson,mlflow-reference,30,96,25.0,0.0,33.333,0.0,0.0,0.0,0.0,37447,390.073,0,37447,0
poisson,mlflow-reference,90,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,37447,390.073,0,37447,0
poisson,mlflow-reference,365,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,37447,390.073,0,37447,0
poisson,wandb-reference,30,96,25.0,0.0,33.333,0.0,0.0,0.0,0.0,43783,456.073,0,43783,0
poisson,wandb-reference,90,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,43783,456.073,0,43783,0
poisson,wandb-reference,365,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,43783,456.073,0,43783,0
poisson,full-artifact-dedup,30,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500752499,15632838.531,1500024576,62503,665420
poisson,full-artifact-dedup,90,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500752499,15632838.531,1500024576,62503,665420
poisson,full-artifact-dedup,365,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500752499,15632838.531,1500024576,62503,665420
poisson,capsule,30,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500767763,15632997.531,1500024576,77767,665420
poisson,capsule,90,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500767763,15632997.531,1500024576,77767,665420
poisson,capsule,365,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500767763,15632997.531,1500024576,77767,665420
burst,input-output-only,30,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,575164,5991.292,0,33996,541168
burst,input-output-only,90,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,575164,5991.292,0,33996,541168
burst,input-output-only,365,96,0.0,0.0,0.0,0.0,100.0,100.0,0.0,575164,5991.292,0,33996,541168
burst,mlflow-reference,30,96,25.0,0.0,33.333,0.0,0.0,0.0,0.0,37209,387.594,0,37209,0
burst,mlflow-reference,90,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,37209,387.594,0,37209,0
burst,mlflow-reference,365,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,37209,387.594,0,37209,0
burst,wandb-reference,30,96,25.0,0.0,33.333,0.0,0.0,0.0,0.0,43545,453.594,0,43545,0
burst,wandb-reference,90,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,43545,453.594,0,43545,0
burst,wandb-reference,365,96,0.0,0.0,33.333,0.0,0.0,0.0,0.0,43545,453.594,0,43545,0
burst,full-artifact-dedup,30,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500628009,15631541.76,1500024576,62265,541168
burst,full-artifact-dedup,90,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500628009,15631541.76,1500024576,62265,541168
burst,full-artifact-dedup,365,96,100.0,100.0,33.333,0.0,100.0,100.0,0.0,1500628009,15631541.76,1500024576,62265,541168
burst,capsule,30,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500643273,15631700.76,1500024576,77529,541168
burst,capsule,90,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500643273,15631700.76,1500024576,77529,541168
burst,capsule,365,96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1500643273,15631700.76,1500024576,77529,541168
